date,spot,cash,options_mv,portfolio,n_positions,cash_pct,avg_delta
2025-03-04,492.4285278320313,57778.92694543869,584121.3731757067,641900.3001211454,39,0.09001230710522196,0.6878301985946961
2025-03-05,498.8478393554688,57778.92694543869,616478.2860354433,674257.212980882,39,0.08569270870681359,0.7034271413171543
2025-03-06,485.1248474121094,57778.92694543869,559616.5142224012,617395.4411678399,39,0.0935849588331045,0.6672762928607835
2025-03-07,488.6921997070313,57778.92694543869,576098.3328734396,633877.2598188784,39,0.09115160080351867,0.6762214427023603
2025-03-10,469.7522888183594,57778.92694543869,507469.0721639253,565247.999109364,39,0.10221871998924076,0.6258212733232505
2025-03-11,468.62939453125,57778.92694543869,501791.3669584705,559570.2939039092,39,0.10325588683833999,0.622799553698979
2025-03-12,473.9159240722656,57778.92694543869,522249.8209287661,580028.7478742048,39,0.09961390216812088,0.6364966054412772
2025-03-13,465.3899230957031,57778.92694543869,486662.6367129133,544441.563658352,39,0.10612512122916487,0.6140648584584374
2025-03-14,476.63861083984375,57778.92694543869,546576.6220470784,604355.5489925172,39,0.09560419696941358,0.6425188209327549
2025-03-17,479.7290344238281,57778.92694543869,556662.1635700762,614441.090515515,39,0.09403493327075875,0.6500760918887027
2025-03-18,471.5509033203125,57778.92694543869,521401.145253226,579180.0721986647,39,0.0997598669548491,0.6294154629828883
2025-03-19,477.8609008789063,57778.92694543869,534504.2127598175,592283.1397052562,39,0.09755288150561199,0.6461737566822894
2025-03-20,476.24114990234375,57778.92694543869,526274.6580124404,584053.5849578792,39,0.0989274416483645,0.6419428752176645
2025-03-21,477.8111877441406,39139.538497334506,551440.7918195302,590580.3303168647,40,0.06627301399681722,0.6476825229720429
2025-03-24,488.2964477539063,39139.538497334506,608245.886178828,647385.4246761624,40,0.06045786173964765,0.672735669950318
2025-03-25,491.0829772949219,39139.538497334506,619182.9245110244,658322.4630083588,40,0.05945344522876708,0.6797001477307625
2025-03-26,482.0466613769531,39139.538497334506,578067.7227526722,617207.2612500066,40,0.06341393070792245,0.6571991551869932
2025-03-27,479.2999877929688,39139.538497334506,562068.892130253,601208.4306275875,40,0.06510144652575423,0.6504664695571292
2025-03-28,466.68109130859375,39139.538497334506,509301.818259214,548441.3567565485,40,0.07136503842234573,0.6176445765086298
2025-03-31,466.66119384765625,39139.538497334506,506843.0821395485,545982.620636883,40,0.07168641824473945,0.6172643581238517
2025-04-01,470.4229431152344,39139.538497334506,525216.0139417896,564355.5524391241,40,0.06935262411820854,0.6269617595780982
2025-04-02,473.8563232421875,39139.538497334506,537272.6477026046,576412.1861999391,40,0.06790199692925687,0.6358403415721865
2025-04-03,448.4891357421875,39139.538497334506,460925.83849428897,500065.3769916235,40,0.07826884303167848,0.571455770456782
2025-04-04,420.6339721679688,39139.538497334506,392751.96808739787,431891.5065847324,40,0.09062354295141888,0.5081195535209913
2025-04-07,421.6490173339844,20364.232946466178,416098.34697320824,436462.57991967443,41,0.046657454460847396,0.5154361358027924
2025-04-08,414.0557861328125,20364.232946466178,386540.46462657873,406904.6975730449,41,0.050046689231968186,0.4958054116845032
2025-04-09,463.7552490234375,20364.232946466178,748206.6790440313,768570.9119904975,41,0.026496231679814027,0.6258321156011062
2025-04-10,444.03070068359375,20364.232946466178,670623.4980734797,690987.7310199459,41,0.029471193238709396,0.5928963382989535
2025-04-11,452.2110900878906,20364.232946466178,706123.5458704674,726487.7788169336,41,0.028031074355619304,0.607001591907782
2025-04-14,455.2762451171875,20364.232946466178,718861.9450034872,739226.1779499534,41,0.027548040848527505,0.611975555065539
2025-04-15,455.7837829589844,20364.232946466178,717329.8330395828,737694.065986049,41,0.027605255193758463,0.6123832915992412
2025-04-16,442.0403442382813,20364.232946466178,659176.2208641359,679540.4538106021,41,0.029967653628671223,0.5886373338998409
2025-04-17,441.9607238769531,20364.232946466178,655926.7439924594,676290.9769389256,41,0.030111643716792084,0.5880137672225919
2025-04-21,431.0236511230469,20364.232946466178,607914.219748237,628278.4526947032,41,0.032412750841801806,0.5677139638281634
2025-04-22,442.33892822265625,20364.232946466178,665567.8933210578,685932.126267524,41,0.029688408177172644,0.589567772839693
2025-04-23,452.3703002929688,20364.232946466178,710414.275373661,730778.5083201271,41,0.027866491302923426,0.6070005196645795
2025-04-24,465.0987243652344,20364.232946466178,776190.8547042689,796555.087650735,41,0.025565379296648556,0.628962688867835
2025-04-25,470.28363037109375,20364.232946466178,802362.7432136178,822726.976160084,41,0.024752115266126584,0.6374195575490696
2025-04-28,470.1343383789063,20364.232946466178,798954.1495491628,819318.382495629,41,0.02485509098970426,0.6368199055750472
2025-04-29,473.23931884765625,20364.232946466178,814166.8423933827,834531.0753398489,41,0.02440200676550383,0.6417595698492263
2025-04-30,473.1795959472656,20364.232946466178,812700.9439627649,833065.1769092311,41,0.02444494561880483,0.6415333989035492
2025-05-01,479.3596801757813,20364.232946466178,843086.9955508562,863451.2284973224,41,0.023584693928696318,0.6512648925686783
2025-05-02,486.4752502441406,20364.232946466178,880542.3178240464,900906.5507705125,41,0.022604156811879536,0.6622728084238305
2025-05-05,483.5892028808594,20364.232946466178,863152.6258401765,883516.8587866427,41,0.02304905983846525,0.6575716443927155
2025-05-06,479.0910034179688,20364.232946466178,838948.0801138326,859312.3130602988,41,0.0236982906412016,0.6504188033039227
2025-05-07,480.9718627929688,20364.232946466178,846276.772586597,866641.0055330632,41,0.023497887610268706,0.6532260154092471
2025-05-08,485.9378662109375,20364.232946466178,871982.8143279337,892347.0472743999,41,0.022820978686114376,0.6609163625826009
2025-05-09,485.6193542480469,20364.232946466178,869509.2180125373,889873.4509590035,41,0.02288441454739429,0.6603391137393573
2025-05-12,505.4036560058594,20364.232946466178,983453.4628166923,1003817.6957631585,41,0.02028678417646757,0.689480808248214
2025-05-13,513.1064453125,20364.232946466178,1026091.5243713073,1046455.7573177735,41,0.019460194856840224,0.7000649516910431
2025-05-14,516.181396484375,20364.232946466178,1042283.288114144,1062647.5210606102,41,0.01916367614177558,0.704178760130102
2025-05-15,516.7487182617188,20364.232946466178,1044550.4720605399,1064914.705007006,41,0.019122877025472388,0.7049053741212723
2025-05-16,518.9978637695312,20364.232946466178,1056097.1029404518,1076461.335886918,41,0.01891775604712052,0.7078775142197478
2025-05-19,519.4954223632812,20364.232946466178,1052540.5977788132,1072904.8307252794,41,0.01898046533419002,0.7085776754373492
2025-05-20,517.7637939453125,20364.232946466178,1041068.0393363584,1061432.2722828246,41,0.019185616904853268,0.7062534686283646
2025-05-21,510.5685729980469,20364.232946466178,1001439.7736762796,1021804.0066227458,41,0.01992968594219335,0.6963162870117444
2025-05-22,511.5240173339844,20364.232946466178,1005730.2169747138,1026094.44992118,41,0.019846353274818384,0.6976065397843101
2025-05-23,506.7868957519531,20364.232946466178,973124.2755733114,993488.5085197776,41,0.020497703568617354,0.690980604321488
2025-05-27,518.7091674804688,20364.232946466178,1036860.7466896389,1057224.979636105,41,0.019261967262138954,0.7074503600451597
2025-05-28,516.4103393554688,20364.232946466178,1019123.8704875647,1039488.1034340309,41,0.019590635890099493,0.7044123014961379
2025-05-29,517.4254760742188,20364.232946466178,1023702.4427483017,1044066.6756947679,41,0.019504724574141707,0.7057944909898926
2025-05-30,516.6093139648438,20364.232946466178,1017118.7969538583,1037483.0299003245,41,0.01962849739182978,0.7046785361654864
2025-06-02,520.6896362304688,20364.232946466178,1030025.9729103426,1050390.2058568087,41,0.019387302768931445,0.7105731172396762
2025-06-03,524.7598876953125,20364.232946466178,1051706.9897211536,1072071.2226676198,41,0.018995223932785122,0.7161552364188334
2025-06-04,526.2228393554688,20364.232946466178,1043875.6629772969,1064239.895923763,41,0.01913500238476774,0.7191032661483245
2025-06-05,522.2620239257812,20364.232946466178,1021726.4902530885,1042090.7231995547,41,0.01954170831109734,0.7135073756167059
2025-06-06,527.3673095703125,20364.232946466178,1048983.3842815997,1069347.6172280659,41,0.01904360436062297,0.7206439915235626
2025-06-09,528.1435546875,20364.232946466178,1047151.9386835402,1067516.1716300063,41,0.01907627583324731,0.7219711787240399
2025-06-10,531.6366577148438,20364.232946466178,1061726.268016494,1082090.5009629603,41,0.01881934360235479,0.7271377025451901
2025-06-11,529.8452758789062,20364.232946466178,1050870.4604289222,1071234.6933753884,41,0.019010057340749346,0.7246577428848971
2025-06-12,531.0892333984375,20364.232946466178,1053727.5076124705,1074091.7405589367,41,0.018959491240356268,0.7266665895863402
2025-06-13,524.421630859375,20364.232946466178,1016345.8033905245,1036710.0363369907,41,0.01964313282662832,0.7171983950941306
2025-06-16,531.7162475585938,20364.232946466178,1055698.6199081053,1076062.8528545715,41,0.018924761590314258,0.7273981716369331
2025-06-17,526.5313720703125,20364.232946466178,1027023.4950320846,1047387.7279785508,41,0.019442879081435268,0.7200147387739027
2025-06-18,526.4417114257812,20364.232946466178,1021977.6389365256,1042341.8718829917,41,0.01953699980379582,0.7201752480881193
2025-06-20,524.292236328125,20364.232946466178,1008427.5948421095,1028791.8277885757,41,0.019794318341583073,0.7170664774091452
2025-06-23,529.6832275390625,20364.232946466178,1033096.4733241858,1053460.706270652,41,0.019330794993348582,0.7250478898324015
2025-06-24,537.7831420898438,20364.232946466178,1079147.0501233102,1099511.2830697764,41,0.01852116777702393,0.7362686328359912
2025-06-25,539.157958984375,20364.232946466178,1078614.5788059195,1098978.8117523857,41,0.018530141553861464,0.7390088715441622
2025-06-26,544.1992797851562,20364.232946466178,1107076.0976647756,1127440.3306112417,41,0.01806235983719485,0.7458580975761361
2025-06-27,546.0623779296875,20364.232946466178,1116735.0145587139,1137099.24750518,41,0.017908931864255243,0.7484224546327112
2025-06-30,549.5992431640625,20364.232946466178,1134693.235620087,1155057.4685665532,41,0.01763049328769637,0.753234786199709
2025-07-01,544.9664306640625,20364.232946466178,1077303.2106978006,1097667.4436442668,41,0.018552279257601667,0.7512674953659128
2025-07-02,548.7623291015625,20364.232946466178,1053692.50545648,1074056.7384029462,41,0.01896010910629032,0.7649022534284907
2025-07-03,554.1622924804688,20364.232946466178,1085209.3140668052,1105573.5470132714,41,0.01841960944297243,0.7727316972950968
2025-07-07,549.9878540039062,20364.232946466178,1053666.571689603,1074030.804636069,41,0.018960566920952063,0.767783348476121
2025-07-08,550.2967529296875,38617.12982166963,899743.4486365417,938360.5784582114,41,0.04115382797210016,0.8097401446750226
2025-07-09,554.1921997070312,54506.197464419594,877961.1995511422,932467.3970155618,41,0.058453730005865234,0.8236022888624137
2025-07-10,553.3952026367188,54506.197464419594,869522.0802057169,924028.2776701365,41,0.05898758596636525,0.8239409806963504
2025-07-11,552.1497192382812,54506.197464419594,861395.0690915231,915901.2665559427,41,0.05951099693243015,0.8215725427522077
2025-07-14,554.15234375,57041.92124062441,869773.5876382826,926815.508878907,41,0.06154614450682139,0.8207676385331752
2025-07-15,554.660400390625,92630.50024358081,818414.9923266096,911045.4925701903,41,0.10167494488365982,0.7682301091935222
2025-07-16,555.2283325195312,92630.50024358081,821225.8998411665,913856.4000847472,41,0.10136220552265175,0.769486290184966
2025-07-17,559.7216186523438,113098.84239935371,811882.9441097238,924981.7865090775,41,0.1222714263663437,0.771344866616961
2025-07-18,559.1836547851562,134727.54652056348,776547.1420393211,911274.6885598847,41,0.14784515383992236,0.7650407775352227
2025-07-21,562.0828857421875,134727.54652056348,784710.4157678775,919437.9622884409,41,0.14653250360169218,0.7752162866578013
2025-07-22,559.1737060546875,134727.54652056348,754090.5956768551,888818.1421974185,41,0.15158055413616736,0.7754088285693685
2025-07-23,561.7241821289062,134727.54652056348,767775.126730342,902502.6732509055,41,0.14928215784144028,0.7819548100402829
2025-07-24,562.9197998046875,134727.54652056348,774445.1542488334,909172.700769397,41,0.1481869686656329,0.7847441487833005
2025-07-25,564.2747802734375,134727.54652056348,782071.5075866084,916799.054107172,41,0.14695428176654085,0.7878950864479937
2025-07-28,566.0381469726562,136683.6816868893,789400.0202264456,926083.7019133349,41,0.14759322662141017,0.7870200463909758
2025-07-29,565.1614379882812,136683.6816868893,781498.073734522,918181.7554214112,41,0.1488634258738419,0.7863199350849496
2025-07-30,565.918701171875,149365.51487928786,769394.3859187703,918759.9007980581,41,0.16257295812490857,0.785166197433262
2025-07-31,562.9197998046875,149365.51487928786,750224.2188578636,899589.7337371514,41,0.16603737156801587,0.7786617972466611
2025-08-01,551.8309326171875,106981.01206293175,733014.7927160651,839995.8047789969,42,0.12735898376430402,0.7465602068665199
2025-08-04,562.0131225585938,106981.01206293175,802495.6900332213,909476.702096153,42,0.11762919469664584,0.7672045361906267
2025-08-05,558.197265625,106981.01206293175,778365.4690593483,885346.4811222801,42,0.12083519203388127,0.7583326956235693
2025-08-06,565.2212524414062,106981.01206293175,825113.2416593052,932094.253722237,42,0.11477488637625693,0.7728244385027552
